[2018-01-02 09:35:06:0046] | GigEVisionManager.cpp-L2861: event thread stop
[2018-01-02 09:35:06:0480] |   GigEVisionGVSP.cpp-L0422: [socket] NearBID[0], LastBID[0], output[0]
[2018-01-02 09:38:24:0040] | GigEVisionManager.cpp-L0272: driver mode start!
[2018-01-02 09:38:24:0040] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2018-01-02 09:38:24:0040] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:38:24:0040] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:38:24:0040] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe5d26], hostPort[58101], devIP[a9fe0f93]
[2018-01-02 09:38:24:0041] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe5d26], m_nUpDevIP[a9fe0f93]
[2018-01-02 09:38:24:0041] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:38:24:0051] | GigEVisionManager.cpp-L2790: event thread start...
[2018-01-02 09:38:24:0307] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:38:26:0194] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[2364]
[2018-01-02 09:38:37:0233] | GigEVisionManager.cpp-L2329: AppGetCount[101], AppGetCountSucceed[5], ExpectRecv[5], NetRecv[5], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-01-02 09:38:37:0257] | GigEVisionManager.cpp-L2329: AppGetCount[101], AppGetCountSucceed[5], ExpectRecv[5], NetRecv[5], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-01-02 09:38:37:0257] | GigEVisionManager.cpp-L0901: disconnect device ...
[2018-01-02 09:38:37:0271] | GigEVisionManager.cpp-L2728: SendRsdCmd thread stop
[2018-01-02 09:38:37:0271] | GigEVisionManager.cpp-L2329: AppGetCount[101], AppGetCountSucceed[5], ExpectRecv[5], NetRecv[5], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-01-02 09:38:37:0287] | GigEVisionManager.cpp-L2861: event thread stop
[2018-01-02 09:38:37:0738] |   GigEVisionGVSP.cpp-L0422: [socket] NearBID[0], LastBID[0], output[0]
[2018-01-02 09:38:39:0059] | GigEVisionManager.cpp-L0272: driver mode start!
[2018-01-02 09:38:39:0059] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2018-01-02 09:38:39:0059] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:38:39:0059] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:38:39:0059] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe5d26], hostPort[58111], devIP[a9fe0f93]
[2018-01-02 09:38:39:0061] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe5d26], m_nUpDevIP[a9fe0f93]
